NSTP,SERVICE STATUS,
STUDENT NO,NAME,STATUS
2026-00001,Amielle Jenascia J. Daep,OK
2026-00002,Ameerah Janelle D. Jayogue,INC
2026-00003,Ma. Louniebele J. Torete,OK
2025-00001,John Martin G. Domingo,OK
2024-00051,Ruth B. Cometa,OK
2023-00052,Algian Mitchell S. Villanueva,OK
2024-00001,Junie Erica J. Zapanta,INC
2024-00002,Rafael M. Torres,OK
2024-00003,Charlene Kim S. Filart,INC
2023-00001,Sofia C. Orpia,INC
2023-00002,Lorenzo A. Mendoza,OK
2023-00003,Jasmine S. Aliswag,OK
2026-00004,Sophia A. Laforteza,OK
2026-00005,Yoonchae B. Jung,OK
2026-00006,Lara C. Raj,INC
2025-00004,Rubilyn C. Gonzales,OK
2024-00053,Roberto D. Limiter,OK
2023-00054,Manon D. Bannerman,OK
2024-00004,Lana R. Dela Cruz,OK
2024-00005,Doja G. Kapampangan,INC
2024-00006,Kali R. Abad,OK
2023-00004,Jana Mari A. Del Rosario,OK
2023-00005,John Michael M. Iwag,OK
2023-00006,Frieda Marie V. Magaan,INC
2026-00007,Angel Marie A. Chan,OK
2026-00008,Bernadette C. Abalajen,OK
2026-00009,Mary Antonette A. Albon,OK
2025-00007,Deserie M. Lee,OK
2025-00008,Alaina Jazmine P. Pablo,OK
2025-00009,Chrisdane L. Lazam,INC
2024-00007,Ruzzel Mae P. Sulit,OK
2023-00055,Jikki Shien P. Liwanag,OK
2023-00056,Alyssa Mae L. Picar,OK
2023-00007,Pauline Kane L. Melicor,OK
2023-00008,Tricia Mae B. Ilasin,OK
2023-00009,Jansen S. Libang,INC
2026-00010,Cassandra F. Aborilla,OK
2026-00011,Angela E. Gonzaga,OK
2026-00012,Aliyah Gail W. Condiamat,OK
2025-00010,Kate Carlene S. Guadalupe,OK
2024-00057,Mary Jane M. Cruz,OK
2024-00058,Francesca Nicole N. Santos,INC
2024-00010,Leigh Gabrielle S. Santos,OK
2024-00011,Aira C. Dasco,OK
2024-00012,Karylle T. Dela Paz,OK
2023-00010,Jilaiah Ann O. Villatema,INC
2023-00011,Meryl Arwen H. Roque,OK
2023-00012,Rain J. Marasigan,OK
